idx,question,expected,prediction,correct
1,What nationality was Oliver Reed's character in the film Royal Flash?,Prussian,"Oliver Reed played the character Otto von Bismarck in the film ""Royal Flash."" Otto von Bismarck was German, so Reed's character was German. [File: 5add1d575542992c1e3a2540__FULL_CONTEXT_RAW.txt]",0
2,Pacific Mozart Ensemble performed which German composer's Der Lindberghflug in 2002?,Kurt Weill,"The Pacific Mozart Ensemble performed Kurt Weill's ""Der Lindberghflug"" in 2002. [File: 5ac55ea55542993e66e82377__FULL_CONTEXT_RAW.txt]",1
3,"Who released the song ""With or Without You"" first, Jai McDowall or U2?",U2,"U2 released the song ""With or Without You"" first. It was released as the lead single from their album ""The Joshua Tree"" on March 16, 1987. Jai McDowall later performed a version of the song as part of his promotional activities. [File: 5ac3a76e554299741d48a2be__FULL_CONTEXT_RAW.txt]",1
4,"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County,"The Kentucky county with a population of 60,316 and features the Lake Louisvilla neighborhood is Oldham County. [File: 5a7133565542994082a3e65c__FULL_CONTEXT_RAW.txt]",1
5,"Para Hills West, South Australia lies within a city with what estimated population?","138,535","Para Hills West is within the City of Salisbury, which has an estimated population of 138,535 people. [File: 5ac1a4745542991316484b82__FULL_CONTEXT_RAW.txt]",1
6,"In what year was the narrator of ""Blackadder's Christmas Carol"" born?",1959,"The narrator of ""Blackadder's Christmas Carol,"" Hugh Laurie, was born on 11 June 1959. [File: 5adc597d55429947ff17392f__FULL_CONTEXT_RAW.txt]",1
7,"Thomas Fitch defended John Henry Holliday when he was accused of killing men during the gunfight at the o.k. corral, when was that?","October 25, 1881","Thomas Fitch defended Doc Holliday when he was accused of murdering Billy Clanton and Tom and Frank McLaury during the Gunfight at the O.K. Corral, which took place on October 26, 1881. [File: 5ac55e835542993e66e82375__FULL_CONTEXT_RAW.txt]",1
8,The actor that played Gutthi on Comedy nights with Kapil Show also starred in what 2016 Punjabi film directed by Smeep Kang?,Vaisakhi List,"The actor who played Gutthi on Comedy Nights with Kapil Show is Sunil Grover, and he starred in the 2016 Punjabi film ""Vaisakhi List,"" which was directed by Smeep Kang. [File: 5a8d9e0f554299441c6ba015__FULL_CONTEXT_RAW.txt]",1
9,"Victor Varnada directed Twisted Fortune, which starred which brother of Eddie Murphy?",Charlie Murphy,"Victor Varnado directed Twisted Fortune, which starred Charlie Murphy, the older brother of Eddie Murphy. [File: 5ae70ed7554299572ea546a1__FULL_CONTEXT_RAW.txt]",1
10,"After his curacy at the village that is a suburb of Scunthorpe, who was Industrial Chaplain to the Bishop of Lincoln?",Dudman,"After his curacy at Frodingham, which is a suburb of Scunthorpe, Bill Dudman served as the Industrial Chaplain to the Bishop of Lincoln from 1957 to 1971. [File: 5a74a8fa55429929fddd8497__FULL_CONTEXT_RAW.txt]",1
